State,Year,Quarter,Revenue
Illinois,2023,Q4,674500000.0
Illinois,2024,Q1,
Illinois,2024,Q2,706600000.0
Illinois,2024,Q3,681700000.0
Indiana,2019,Q3,562580000.0
Indiana,2020,CY,
Indiana,2020,Q2,112700000.0
Indiana,2020,Q3,549700000.0
Indiana,2020,Q4,538400000.0
Indiana,2021,CY,2725000000.0
Indiana,2021,Q1,597100000.0
Indiana,2021,Q2,722500000.0
Indiana,2021,Q3,712900000.0
Indiana,2021,Q4,692500000.0
Indiana,2022,CY,2890400000.0
Indiana,2022,Q1,711100000.0
Indiana,2022,Q2,713400000.0
Indiana,2022,Q3,728000000.0
Indiana,2022,Q4,737800000.0
Indiana,2023,CY,2822500000.0
Indiana,2023,Q1,739800000.0
Indiana,2023,Q2,681100000.0
Indiana,2023,Q3,689300000.0
Indiana,2023,Q4,712300000.0
Indiana,2024,Q1,724200000.0
Indiana,2024,Q2,717000000.0
Indiana,2024,Q3,750100000.0
Iowa,2019,Q3,380920000.0
Iowa,2020,CY,
Iowa,2020,Q2,115100000.0
Iowa,2020,Q3,369300000.0
Iowa,2020,Q4,371700000.0
Iowa,2021,CY,1861300000.0
Iowa,2021,Q1,441400000.0
Iowa,2021,Q2,482900000.0
Iowa,2021,Q3,461700000.0
Iowa,2021,Q4,475300000.0
Iowa,2022,CY,1930800000.0
Iowa,2022,Q1,473600000.0
Iowa,2022,Q2,483600000.0
Iowa,2022,Q3,501800000.0
Iowa,2022,Q4,471800000.0
Iowa,2023,CY,1946100000.0
Iowa,2023,Q1,487500000.0
Iowa,2023,Q2,476200000.0
Iowa,2023,Q3,485600000.0
Iowa,2023,Q4,433200000.0
Iowa,2024,Q1,477900000.0
Iowa,2024,Q2,479000000.0
Iowa,2024,Q3,477600000.0
Kansas,2019,Q3,101590000.0
Kansas,2020,CY,299600000.0
Kansas,2020,Q2,38200000.0
Kansas,2020,Q3,86500000.0
Kansas,2020,Q4,85900000.0
Kansas,2021,CY,403600000.0
Kansas,2021,Q1,100300000.0
Kansas,2021,Q2,101900000.0
Kansas,2021,Q3,99800000.0
