State,Year,Quarter,Revenue
Tennessee,2024,Q2,128700000.0
Tennessee,2024,Q3,135600000.0
United States,2019,Q3,11139060000.0
United States,2020,CY,
United States,2020,Q2,2295200000.0
United States,2020,Q3,9035400000.0
United States,2020,Q4,
United States,2021,CY,52985500000.0
United States,2021,Q1,
United States,2021,Q2,
United States,2021,Q3,13892410000.0
United States,2021,Q4,14315490000.0
United States,2022,CY,60416100000.0
United States,2022,Q1,14305300000.0
United States,2022,Q2,14814000000.0
United States,2022,Q3,15168100000.0
United States,2022,Q4,15853400000.0
United States,2023,CY,68652000000.0
United States,2023,Q1,16595700000.0
United States,2023,Q2,16072700000.0
United States,2023,Q3,16256200000.0
United States,2023,Q4,17531600000.0
United States,2024,Q1,17670600000.0
United States,2024,Q2,17613300000.0
United States,2024,Q3,17711100000.0
Vermont,2019,Q3,
Vermont,2020,CY,
Vermont,2020,Q2,
Vermont,2020,Q3,
Vermont,2020,Q4,
Vermont,2021,CY,
Vermont,2021,Q1,
Vermont,2021,Q2,
Vermont,2021,Q3,
Vermont,2021,Q4,
Vermont,2022,CY,
Vermont,2022,Q1,
Vermont,2022,Q2,
Vermont,2022,Q3,
Vermont,2022,Q4,
Vermont,2023,CY,
Vermont,2023,Q1,
Vermont,2023,Q2,
Vermont,2023,Q3,
Vermont,2023,Q4,
Vermont,2024,Q1,8300000.0
Vermont,2024,Q2,4100000.0
Vermont,2024,Q3,4400000.0
Virginia,2019,Q3,
Virginia,2020,CY,
Virginia,2020,Q2,
Virginia,2020,Q3,
Virginia,2020,Q4,
Virginia,2021,CY,285900000.0
Virginia,2021,Q1,116200000.0
Virginia,2021,Q2,64600000.0
Virginia,2021,Q3,68900000.0
Virginia,2021,Q4,84000000.0
Virginia,2022,CY,563200000.0
Virginia,2022,Q1,100200000.0
Virginia,2022,Q2,104800000.0
Virginia,2022,Q3,157100000.0
Virginia,2022,Q4,201100000.0
Virginia,2023,CY,1115100000.0
Virginia,2023,Q1,243000000.0
Virginia,2023,Q2,259000000.0
Virginia,2023,Q3,283200000.0
Virginia,2023,Q4,329900000.0
Virginia,2024,Q1,347400000.0
Virginia,2024,Q2,348400000.0
Virginia,2024,Q3,335600000.0
West Virginia,2019,Q3,160290000.0
West Virginia,2020,CY,434200000.0
West Virginia,2020,Q2,40900000.0
West Virginia,2020,Q3,126300000.0
West Virginia,2020,Q4,126300000.0
West Virginia,2021,CY,658500000.0
West Virginia,2021,Q1,116200000.0
West Virginia,2021,Q2,170200000.0
West Virginia,2021,Q3,168900000.0
West Virginia,2021,Q4,202900000.0
West Virginia,2022,CY,769200000.0
West Virginia,2022,Q1,183000000.0
West Virginia,2022,Q2,192000000.0
West Virginia,2022,Q3,183200000.0
West Virginia,2022,Q4,211000000.0
West Virginia,2023,CY,801800000.0
West Virginia,2023,Q1,193600000.0
West Virginia,2023,Q2,210700000.0
West Virginia,2023,Q3,196800000.0
West Virginia,2023,Q4,200700000.0
West Virginia,2024,Q1,213500000.0
West Virginia,2024,Q2,213000000.0
West Virginia,2024,Q3,217700000.0
Wyoming,2019,Q3,
Wyoming,2020,CY,
Wyoming,2020,Q2,
Wyoming,2020,Q3,
Wyoming,2020,Q4,
Wyoming,2021,CY,4000000.0
Wyoming,2021,Q1,
Wyoming,2021,Q2,
Wyoming,2021,Q3,1000000.0
Wyoming,2021,Q4,3000000.0
Wyoming,2022,CY,14800000.0
Wyoming,2022,Q1,2900000.0
Wyoming,2022,Q2,2700000.0
Wyoming,2022,Q3,3900000.0
Wyoming,2022,Q4,5300000.0
Wyoming,2023,CY,17300000.0
Wyoming,2023,Q1,4500000.0
Wyoming,2023,Q2,3300000.0
Wyoming,2023,Q3,3800000.0
Wyoming,2023,Q4,5700000.0
Wyoming,2024,Q1,
Wyoming,2024,Q2,4200000.0
Wyoming,2024,Q3,6000000.0
